ArticleEntity,Ship_3,Country_3,Description-3
Q14875546,,Q20,Q319984
Q14875546,,Q188712,
Q14875546,,Q188712,
Q14875546,,Q55,Q1410
Q14875546,,Q145,
Q14875546,,Q142,Q185682
Q14875546,,Q172579,Q1345
Q14875546,Q7394266,Q188712,Q97
Q14875546,,Q188712,Q5413
Q14875546,Q28232245,Q172771,Q202083
Q14875546,,Q145,Q1952
Q14875546,,Q20,Q1952
Q14875546,,Q30,Q16568
Q14875546,,Q188712,
Q14875546,,Q142,
Q14875546,,Q145,Q11725
Q14875546,,Q35,Q82119
Q14875546,,Q145,Q581367
Q14875546,,Q20,
Q14875546,,Q43,Q35958
Q14875546,,Q145,
Q14875546,,Q20,Q988413
Q14875546,Q7393960,Q145,
Q14875546,,Q145,Q1952
Q14875546,,Q145,Q23156
Q14875546,,Q30,Q490587
Q14875546,,Q145,Q719903
Q14875546,,Q188712,Q696736
Q14875546,,Q41,Q634740
Q14875546,,Q30,Q5492
Q14875546,,Q41,Q127892
Q6639117,,Q174193,
Q6639117,,Q172771,
Q6639117,,Q172771,Q3308902
Q6639117,,Q20,Q189929
Q6639117,,Q174193,
Q6639117,,Q20,Q216057
Q6639117,,Q55,Q191826
Q6639117,,Q174193,Q204577
Q6639117,,Q172771,Q3308902
Q6639117,,Q31,Q166
Q52457913,,Q174193,Q36262
Q52457913,,Q174193,
Q52457913,,Q174193,Q724
Q52457913,,Q30,Q1410
Q6638997,,Q20,Q1887662
Q6638997,,Q30,
Q6638997,,Q20,Q3263622
Q6638997,,Q174193,Q821015
Q6638997,,Q174193,Q1486
Q6638997,,Q34266,Q690062
Q6638997,,Q30,Q174193
Q6638997,,Q174193,Q16518
Q6638997,,Q174193,Q1952
Q6638997,,Q31,Q1462
Q6638997,,Q20,Q1693
Q6638997,,Q20,Q97
Q6638997,,Q188712,Q1347642
Q6638997,,Q2391541,Q62
Q6638997,,Q142,Q23148
Q6638997,,Q174193,Q238752
Q6638997,,Q174193,Q2604557
Q6638997,,Q174193,Q657461
Q6638997,,Q174193,Q26234
Q6638997,,Q174193,Q1335
Q6638997,,,Q35827
Q6638997,,Q174193,Q5050161
Q6638997,,Q419,Q26271
Q6638997,,Q209065,Q218272
Q6638997,Q23640840,Q30,Q1066
Q6638997,,Q174193,Q719903
Q6638997,,Q188712,
Q6638997,,Q34266,
Q6638997,,Q34,Q2211
Q6638997,,Q414,Q727464
Q6638997,,Q174193,
Q6638997,,Q43287,
Q6638997,,Q34266,
Q6638997,,Q20,
Q6638997,,Q174193,Q5510433
Q6638997,,Q174193,
Q6638997,,Q174193,
Q6638997,,Q174193,
Q6638997,,Q174193,Q125080
Q6638997,,Q174193,
Q6638997,,Q174193,Q1034399
Q52457759,,Q174193,Q188304
Q52457759,,Q174193,Q1320240
Q52457759,,Q174193,Q101254
Q52457759,,Q34,
Q52457759,,Q174193,Q12560
Q52457759,,,Q40194
Q52457759,,Q30,Q202539
Q52457759,,,
Q52457759,,Q174193,
Q52457759,,Q30,Q34404
Q52457759,,Q34266,Q815462
Q52457759,,Q174193,Q15682
Q52457759,,Q174193,
Q52457759,,,Q26253
Q52457759,,Q142,
Q52457759,,Q174193,Q188304
Q52457759,,Q174193,
Q52457759,,Q174193,Q101254
Q52457759,,Q174193,Q202539
Q52457759,,Q174193,Q334
Q52457759,,Q174193,
Q52457759,,Q174193,
Q52457759,,Q174193,Q269980
Q52457759,,Q174193,
Q52457759,,Q174193,
Q52457759,,Q174193,
Q52457759,,Q31,Q18569
Q52457759,,Q174193,
Q52457759,,Q174193,Q550606
Q52457759,,Q174193,
Q52457759,,Q174193,Q25287
Q52457759,,Q174193,
Q52457759,,Q174193,Q661619
Q52457759,,Q174193,Q23148
Q52457759,,Q31,Q202539
Q52457759,,Q174193,Q174193
Q52457759,,Q174193,Q97
Q52457759,,Q174193,Q188304
Q52457759,,Q217230,Q40942
Q52457759,,Q30,Q178193
Q52457759,,Q174193,Q184775
Q52457759,,Q393,Q216845
Q52457759,,Q174193,Q2879616
Q52457759,,Q15864,Q749
Q52457759,,Q174193,Q1792
Q52457759,,Q27306,Q216057
Q52457759,,Q30,
Q52457759,,Q174193,
Q52457759,,Q174193,Q991055
Q52457759,,Q142,Q783186
Q52457759,,Q174193,Q23156
Q52457759,,Q174193,Q1006756
Q52457759,,Q174193,
Q52457759,,Q174193,Q23204
Q52457759,,Q174193,
Q52457759,,Q174193,
Q52457759,,Q174193,Q190684
Q52457759,,Q174193,Q183539
Q6639291,,Q172771,Q1803024
Q6639291,,Q172771,Q1803024
Q6639158,,Q30,Q593485
Q6639240,,Q29,Q41573
Q6639240,,Q41,Q2633779
Q6639240,,Q145,
Q6639240,,Q41,
Q6639240,,Q172771,Q2360948
Q6639240,,Q1508488,Q2633779
Q6639240,,Q7318,Q1185210
Q6639240,Q28223660,Q145,
Q6639240,,Q145,Q233
Q6639240,,Q172771,
Q6639240,,Q145,Q3059075
Q6639240,,Q172771,Q5943859
Q6639240,,Q172579,Q2017684
Q6639240,,Q41,Q2633779
Q6639240,,Q218,Q7318
Q6639240,,Q145,Q1693
Q6639240,,Q145,Q191826
Q6639240,,Q145,Q1426123
Q6639240,,Q855186,Q2299357
Q6639240,,Q855186,Q172579
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q172579,Q1797381
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,Q20
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,Q659600
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,
Q6639240,,Q145,Q1693
Q6639240,,Q145,
Q6639101,,Q20,Q59169
Q6639101,Q3282591,Q1129369,Q174736
Q6639101,,Q242,Q2688224
Q6639101,Q7870066,Q702116,Q2607934
Q6639101,Q2470021,Q11220,Q2607934
Q52457329,,Q174193,Q101254
Q52457329,,Q174193,Q190002
Q52457329,,Q174193,Q382586
Q52457329,,Q142,
Q52457329,,Q174193,Q208209
Q52457329,,Q174193,
Q52457329,,Q174193,Q967166
Q52457329,,Q30,
Q52457329,,Q174193,
Q52457329,,Q174193,
Q52457329,,Q174193,
Q52457329,,Q174193,Q23157
Q52457329,,Q142,Q973740
Q52457329,,Q174193,Q420303
Q52457329,,,Q173699
Q6639278,,Q2415901,Q1695
Q6639278,,Q2415901,
Q6639278,,Q2415901,
Q6639278,,Q2415901,
Q6639278,,Q30,Q593485
Q6639278,,Q172771,
Q6639278,,Q2415901,
Q6639278,,Q2415901,Q1693
Q6639278,,Q2415901,Q1695
Q6639278,,Q2415901,
Q6639278,,Q2415901,
Q6639278,,Q172771,
Q6638974,,Q30,
Q6638974,,Q174193,Q3038
Q6638974,,Q174193,
Q6638974,,Q174193,
Q6638974,,Q188712,
Q6638974,,Q174193,Q1344227
Q6638974,,Q174193,Q178925
Q6638974,Q23641157,Q30,Q1169
Q6639230,,Q7318,Q1171
Q6639230,,Q7318,Q22115520
Q6639230,,Q11220,Q2694199
Q6639230,,Q796754,
Q6639231,,Q796754,
Q6639231,,Q796754,
Q6639231,,Q188712,
Q6639231,,Q7318,Q161385
Q6639231,,Q151701,Q11215470
Q6639231,,Q151701,Q1446461
Q6639231,,Q11220,Q547795
Q52458012,,Q30,Q98
Q52458012,,Q174193,Q244
Q52458012,,Q174193,Q1012502
Q52458012,,Q20,Q6454
Q52458012,,Q174193,
Q52458012,,Q174193,Q2621492
Q52458012,,Q174193,
Q52458012,,Q174193,
Q52458012,,Q174193,
Q6639215,Q1626579,Q188712,Q1626579
Q6639215,,Q11220,Q290356
Q6639215,,Q151701,
Q6638960,,Q174193,Q218272
Q6638960,,Q174193,
Q6638960,,Q174193,Q747189
Q52457726,,Q174193,Q654216
Q52457726,,Q174193,Q202539
Q52457726,,Q174193,Q204577
Q52457726,,Q174193,
Q52457726,,Q164079,
Q52457726,,Q174193,Q100166
Q52457726,,Q174193,
Q52457726,,Q174193,Q202539
Q52457726,,Q174193,Q202539
Q52457726,,Q27306,Q972113
Q52457726,,Q174193,Q1026294
Q52457726,,Q174193,Q210223
Q52457726,,Q174193,Q1693
Q52457726,,Q164079,
Q52457726,,Q30,Q204577
Q52457726,,Q174193,Q41735
Q52457726,,Q174193,Q546
Q52457726,,Q174193,
Q52457726,,Q174193,
Q52457726,,Q174193,Q1017331
Q52457726,,Q174193,Q192820
Q52457726,,Q174193,Q209126
Q52457726,,Q174193,Q163584
Q52457726,,Q174193,
Q52457726,,Q174193,Q428829
Q52457726,,Q174193,Q202539
Q52457726,,Q174193,Q210223
Q52457726,,Q174193,Q12859788
Q52457726,,Q174193,Q939770
Q52457726,,Q174193,
Q52457726,,Q174193,Q205022
Q52457726,,Q174193,
Q52457726,,Q174193,Q204577
Q52457726,,Q174193,Q202539
Q52457726,,Q174193,Q980084
Q52457726,,Q174193,Q202539
Q52457726,,Q174193,
Q52457726,,Q174193,
Q52457726,,Q174193,Q1018730
Q52457726,,Q174193,Q210223
Q52457726,,Q174193,
Q52457726,,Q174193,Q202539
Q52457726,,Q174193,
Q52457726,,Q174193,Q202539
Q52457726,,Q174193,Q1426232
Q52457726,,Q15864,Q24846
Q52457726,,Q29,Q1492
Q52457726,,Q174193,Q1874
Q52457726,,Q174193,
Q52457726,,Q174193,Q868647
Q52457726,,Q174193,Q163584
Q52457726,,Q174193,Q48335
Q52457726,,Q174193,Q257446
Q52457726,,Q142,
Q52457726,,Q2861,Q4197
Q52457726,,Q174193,Q327300
Q52457726,,Q174193,Q462663
Q52457726,,Q174193,
Q52457726,,Q34,Q164079
Q52457726,,Q174193,Q1693
Q52457726,,Q174193,
Q6639250,,Q20,
Q6639250,,Q172771,
Q6639250,,Q174193,Q1109500
Q6639250,,Q20,Q98
Q52456954,,,Q546
Q52456954,,Q174193,Q515022
Q52456954,,Q174193,
Q52456954,,Q174193,Q215752
Q52456954,,Q174193,
Q52456954,,Q174193,Q1008152
Q52456954,,Q174193,
Q52456954,,Q174193,Q60
Q52456954,,Q174193,Q1185346
Q52456954,,Q174193,Q163584
Q52456954,,Q174193,Q170497
Q52456954,,Q142,Q49562
Q52456954,,Q174193,Q36433
Q52456954,,Q31,Q12996
Q52456954,,Q174193,Q999082
Q52456954,,Q2861,Q26793
Q52456954,,Q174193,Q173699
Q52456954,,,Q515022
Q52456954,,Q174193,Q183551
Q52456954,,Q174193,Q201694
Q52456954,,Q174193,
Q52456954,,Q174193,
Q52456954,,Q31,Q12996
Q52456954,,Q174193,
Q52456954,,Q174193,Q202539
Q52456954,,Q174193,Q183551
Q52456954,,Q174193,
Q52456954,,Q174193,
Q52456954,,Q174193,
Q52456954,,Q174193,
Q52456954,,Q174193,
Q52456954,,Q174193,
Q52456954,,Q174193,
Q52456954,,Q174193,Q204577
Q52456954,,Q174193,Q34640
Q52456954,,Q174193,
Q52456954,,Q174193,Q672545
Q52456954,,Q174193,Q202539
Q52456954,,Q174193,
Q52456954,,Q29,Q5050161
Q52456954,,Q174193,
Q6639151,,Q20,Q60
Q6638932,,Q174193,Q180209
Q6638932,,Q30,Q1121471
Q6638923,,Q172771,
Q6638923,,Q30,Q210223
Q6638923,,Q215530,Q49231
Q6638923,,Q172771,Q202539
Q6638923,,Q172771,
Q6638923,,Q30,Q210223
Q6638923,,Q30,Q204577
Q6638923,,Q172771,
Q6638923,,Q172771,Q215177
Q6638923,,Q172771,Q5660
Q6638923,,Q215530,Q158530
Q6638923,,Q172771,
Q6638923,,Q172771,
Q6638923,,Q170072,
Q6638923,,Q172771,Q1770
Q6638923,,Q172771,
Q6638923,,Q172771,
Q6638923,,Q172771,Q1410
Q6638923,,Q172771,
Q6638923,,Q215530,Q36647
Q6638923,,Q172771,Q41735
Q6638923,,Q1055,Q4197
Q20311387,,Q29,
Q20311387,,Q29,
Q20311387,,Q29,
Q20311387,,Q29,
Q20311387,,Q29,Q3091275
Q20311387,,Q676404,Q161705
Q20311387,,Q29,
Q20311387,Q3552255,Q29,Q584340
Q20311648,,Q172771,Q641
Q20311648,,Q172771,Q311975
Q6639082,,Q668,Q57278
Q6639082,,Q902,
Q6639082,,Q3942070,
Q6639082,,Q145,
Q6639082,,Q172771,
Q6639082,,Q16,Q181857
Q6639082,,Q145,Q41573
Q6639082,,Q229,Q34374
Q6639082,,Q41,
Q52457553,,Q174193,
Q52457553,,Q174193,Q188304
Q52457553,,Q174193,Q166
Q52457553,,Q174193,Q23148
Q52457553,,Q142,Q3389
Q52457553,,Q174193,Q23064
Q6638922,,Q172771,Q45797
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q1055,Q15682
Q6638922,,Q29,Q8692
Q6638922,,Q172771,
Q6638922,,Q29,Q8717
Q6638922,,Q172771,Q3057915
Q6638922,,Q172771,Q11959
Q6638922,,Q215530,Q36647
Q6638922,,Q172771,
Q6638922,,Q215530,
Q6638922,,Q172771,Q202539
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,Q210223
Q6638922,,Q172771,Q1581130
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,Q204577
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,Q210223
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,Q204577
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,Q28457505,Q172771,
Q6638922,,Q172771,
Q6638922,,Q29,Q8692
Q6638922,,Q172771,Q188203
Q6638922,,Q172771,Q545
Q6638922,,Q172771,Q14686
Q6638922,,Q172771,
Q6638922,,Q172771,Q864668
Q6638922,,Q172771,Q18569
Q6638922,,Q172771,
Q6638922,,Q172771,
Q6638922,,Q172771,Q14370
Q6638922,,Q172771,Q184599
Q6638922,,Q172771,Q111509
Q6638922,,Q35,Q1748
Q6638922,,Q215530,Q8851
Q6638922,,Q215530,Q26253
Q6638922,,Q34,
Q6638922,,Q30,
Q6638922,,Q45,
Q6638922,,Q215530,
Q6639174,,Q174193,Q172771
Q6639174,,Q20,
Q52457516,,Q174193,Q546
Q52457516,,Q55613253,Q683363
Q52457516,,Q174193,Q1185346
Q52457516,,Q174193,Q494853
Q52457516,,Q1055,Q1008152
Q52457516,,Q174193,
Q52457516,,Q174193,Q16901849
Q52457516,,Q174193,
Q52457516,,Q174193,
Q52457516,,Q174193,Q769
Q52457516,,Q174193,Q19724
Q52457516,,Q174193,Q1377930
Q52457516,,Q174193,
Q52457516,,Q174193,Q1425428
Q52457516,,Q142,
Q52457773,,Q174193,Q515022
Q52457773,,Q20,Q26793
Q52457773,,Q174193,Q188304
Q52457773,,Q174193,
Q52457773,,Q174193,
Q52457773,,Q174193,Q204577
Q52457773,,Q174193,Q986007
Q52457773,,Q174193,Q79848
Q52457773,,Q174193,Q550995
Q52457773,,Q174193,
Q52457773,,Q174193,Q216057
Q52457773,,Q174193,Q79848
Q52457773,,Q174193,Q216057
Q52457773,,Q174193,Q157341
Q52457773,,Q174193,
Q52457773,,Q174193,Q16518
Q52457773,,Q174193,
Q52457773,,Q174193,Q60
Q52457773,,Q174193,
Q52457773,,Q174193,Q202539
Q52457773,,Q174193,Q97
Q52457773,,Q174193,
Q52457773,,Q174193,Q23079
Q52457773,,Q174193,Q2879616
Q52457773,,Q174193,Q189592
Q52457773,,Q174193,Q163584
Q52457773,,Q174193,
Q52457773,,Q174193,Q37620
Q52457773,,Q174193,Q23156
Q52457773,,Q174193,Q3875618
Q52457773,,Q174193,Q23240
Q52457773,,Q174193,Q1536377
Q52457773,,Q174193,
Q52457773,,Q96,
Q52457773,,Q142,Q204577
Q52457773,,Q174193,
Q52457773,,Q174193,Q806551
Q52457773,,Q174193,Q237253
Q52457773,,Q174193,Q921984
Q52457773,,Q174193,
Q52457773,,Q174193,Q5906147
Q52457773,,Q174193,Q989418
Q52457773,,Q174193,
Q52457773,,Q174193,
Q52457773,,Q174193,
Q52457773,,Q174193,Q746096
Q52457773,,Q174193,Q24993696
Q52457773,,Q174193,Q239496
Q52457773,,Q174193,Q676689
Q52457773,,Q35,
Q52457773,,Q29,Q15088
Q52457773,,Q174193,Q216057
Q52457773,,Q27306,Q1046122
Q52457773,,Q174193,
Q52457773,,Q174193,Q97
Q52457773,,Q174193,
Q52457773,,Q174193,
Q52457773,,Q174193,Q3038
Q52457773,,Q174193,Q216057
Q52457773,,Q174193,Q7337062
Q6639072,Q6569963,Q41,Q58976
Q6639072,Q4811601,Q15180,Q1568095
Q6639072,,Q258,
Q6639072,,Q145,Q9679
Q6639072,,Q30,Q98
Q6639072,,Q229,
Q6639072,,Q38,Q78967
Q6639072,,Q41,Q373978
Q6639072,Q6719608,Q30,
Q6639072,,Q217406,Q327
Q6639072,Q176204,Q713750,
Q6639108,Q7227780,Q672,Q823635
Q6639108,Q16250445,Q398,Q398
Q6639108,Q7875192,Q1129369,Q2607934
Q6639108,Q897681,Q252,
Q6639108,,Q20,Q4571507
Q6639108,Q556044,Q79,Q23406
Q6639108,,Q233,Q134509
Q18085681,,Q174193,Q169523
Q6639059,,,Q8740
Q6639059,,Q145,Q593485
Q6639059,,Q41,
Q6639059,,Q804,Q8740
Q6639059,,Q41,Q58976
Q6639059,,Q804,Q593485
Q6639059,,Q1014,Q14875773
Q6639059,,Q15180,Q204715
Q6639059,,Q55,Q159898
Q6639059,,Q11220,Q1499623
Q6639059,Q320707,Q713750,Q60
Q6639059,,Q41,Q2084446
Q6639059,,Q145,Q141017
Q6639059,,Q38,Q38
Q6639059,,Q1014,Q593485
Q6639059,,Q30,Q489206
Q6639059,,Q41,Q374365
Q6639059,,Q145,Q990130
Q6639059,,Q713750,Q550995
Q6638975,,Q217406,Q324233
