ArticleEntity,Position_3,Player_3
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q201330,
Q6598820,Q280658,
Q6598820,Q201330,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q201330,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q201330,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q201330,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q201330,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q201330,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q201330,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q201330,
Q6598820,Q193592,
Q6598820,Q201330,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q336286,
Q6598820,Q336286,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q336286,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q201330,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q201330,
Q6598820,Q280658,
Q6598820,Q201330,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q201330,
Q6598820,Q336286,
Q4651460,Q201330,
Q4651460,Q201330,
Q4651460,Q336286,
Q4651460,Q336286,
Q4651460,Q336286,
Q4651460,Q336286,
Q4651460,Q336286,
Q4651460,Q336286,
Q4651460,Q193592,
Q4651460,Q193592,
Q4651460,Q193592,
Q4651460,Q193592,
Q4651460,Q193592,
Q4651460,Q193592,
Q4651460,Q280658,
Q4651460,Q280658,
Q4651460,Q280658,
Q4651460,Q280658,
Q4651460,Q280658,
Q4651460,Q280658,
Q938345,Q201330,
Q938345,,
Q938345,,
Q16153340,Q193592,
Q16153340,Q193592,
Q16153340,Q336286,
Q16153340,Q193592,
Q16153340,Q336286,
Q16153340,Q280658,
Q16153340,Q280658,
Q16153340,Q336286,
Q16153340,Q193592,
Q16153340,Q193592,
Q16153340,Q193592,
Q16153340,Q280658,
Q16153340,Q336286,
Q16153340,Q336286,
Q16153340,Q280658,
Q16153340,Q193592,
Q16153340,Q336286,
Q16153340,Q201330,
Q16153340,Q193592,
Q16153340,Q336286,
Q16153340,Q280658,
Q16153340,Q280658,
Q975941,Q201330,
Q975941,Q336286,
Q975941,Q336286,
Q975941,Q336286,
Q975941,Q336286,
Q975941,Q193592,
Q975941,Q193592,
Q975941,Q193592,
Q975941,Q193592,
Q5088811,Q201330,
Q5088811,Q201330,
Q5088811,Q201330,
Q5088811,Q201330,
Q5088811,Q336286,
Q5088811,Q336286,
Q5088811,Q336286,
Q5088811,Q336286,
Q5088811,Q336286,
Q5088811,Q336286,
Q5088811,Q336286,
Q5088811,Q336286,
Q5088811,Q193592,
Q5088811,Q193592,
Q5088811,Q193592,
Q5088811,Q193592,
Q5088811,Q280658,
Q5088811,Q280658,
Q5088811,Q280658,
Q5088811,Q280658,
Q5088811,Q280658,
Q17511106,Q201330,
Q17511106,Q201330,
Q17511106,Q201330,
Q17511106,Q336286,
Q17511106,Q336286,
Q17511106,Q336286,
Q17511106,Q336286,
Q17511106,Q336286,
Q17511106,Q336286,
Q17511106,Q336286,
Q17511106,Q336286,
Q17511106,Q336286,
Q17511106,Q336286,
Q17511106,Q193592,
Q17511106,Q193592,
Q17511106,Q193592,
Q17511106,Q193592,
Q17511106,Q193592,
Q17511106,Q193592,
Q17511106,Q193592,
Q17511106,Q193592,
Q17511106,Q193592,
Q17511106,Q193592,
Q17511106,Q280658,
Q17511106,Q280658,
Q17511106,Q280658,
Q17511106,Q280658,
Q17511106,Q280658,
Q17511106,Q280658,
Q537097,Q201330,
Q537097,Q201330,
Q537097,Q336286,
Q537097,Q336286,
Q537097,Q336286,
Q537097,Q336286,
Q537097,Q336286,
Q537097,Q336286,
Q537097,Q336286,
Q537097,Q336286,
Q537097,Q193592,
Q537097,Q193592,
Q537097,Q193592,
Q537097,Q193592,
Q537097,Q193592,
Q537097,Q193592,
Q537097,Q193592,
Q537097,Q193592,
Q537097,Q280658,
Q537097,Q280658,
Q537097,Q280658,
Q730748,Q201330,
Q730748,Q336286,
Q730748,Q336286,
Q730748,Q336286,
Q730748,Q336286,
Q730748,Q193592,
Q730748,Q280658,
Q730748,Q201330,
Q730748,Q336286,
Q730748,Q336286,
Q730748,Q336286,
Q730748,Q336286,
Q730748,Q193592,
Q730748,Q280658,
Q730748,Q201330,
Q730748,Q201330,
Q730748,Q336286,
Q730748,Q193592,
Q730748,Q193592,
Q730748,Q193592,
Q730748,Q280658,
Q730748,Q280658,
Q730748,Q201330,
Q730748,Q201330,
Q730748,Q336286,
Q730748,Q193592,
Q730748,Q193592,
Q730748,Q193592,
Q730748,Q280658,
Q730748,Q280658,
Q48839723,Q280658,
Q48839723,Q280658,
Q48839723,Q280658,
Q48839723,Q280658,
Q48839723,Q280658,
Q48839723,Q280658,
Q48839723,Q201330,
Q48839723,Q280658,
Q48839723,Q280658,
Q48839723,Q280658,
Q48839723,Q280658,
Q48839723,Q280658,
Q48839723,Q280658,
Q48839723,Q201330,
Q48839723,Q193592,
Q48839723,Q280658,
Q48839723,Q201330,
Q48839723,Q336286,
Q48839723,Q280658,
Q48839723,Q336286,
Q48839723,Q336286,
Q48839723,Q193592,
Q48839723,Q280658,
Q48839723,Q201330,
Q48839723,Q336286,
Q48839723,Q280658,
Q48839723,Q336286,
Q48839723,Q336286,
Q7896875,Q201330,
Q7896875,Q201330,
Q7896875,Q201330,
Q7896875,Q201330,
Q7896875,Q336286,
Q7896875,Q336286,
Q7896875,Q336286,
Q7896875,Q336286,
Q7896875,Q336286,
Q7896875,Q336286,
Q7896875,Q336286,
Q7896875,Q336286,
Q7896875,Q336286,
Q7896875,Q193592,
Q7896875,Q193592,
Q7896875,Q193592,
Q7896875,Q193592,
Q7896875,Q193592,
Q7896875,Q193592,
Q7896875,Q193592,
Q7896875,Q193592,
Q7896875,Q193592,
Q7896875,Q193592,
Q7896875,Q193592,
Q7896875,Q280658,
Q7896875,Q280658,
Q7896875,Q280658,
Q7896875,Q280658,
Q23020228,Q193592,
Q23020228,Q336286,
Q23020228,Q280658,
Q23020228,Q336286,
Q23020228,Q193592,
Q23020228,Q336286,
Q23020228,Q280658,
Q23020228,Q336286,
Q23020228,Q336286,
Q23020228,Q193592,
Q23020228,Q193592,
Q23020228,Q336286,
Q23020228,Q336286,
Q23020228,Q193592,
Q23020228,Q280658,
Q23020228,Q280658,
Q23020228,Q336286,
Q23020228,Q193592,
Q23020228,Q193592,
Q23020228,Q336286,
Q23020228,Q336286,
Q23020228,Q193592,
Q23020228,Q280658,
Q23020228,Q280658,
Q28419266,,
Q4392059,Q201330,
Q4392059,Q336286,
Q4392059,Q336286,
Q4392059,Q336286,
Q4392059,Q336286,
Q4392059,Q336286,
Q4392059,Q336286,
Q4392059,Q193592,
Q4392059,Q193592,
Q4392059,Q193592,
Q4392059,Q193592,
Q4392059,Q193592,
Q4392059,Q193592,
Q4392059,Q193592,
Q4392059,Q193592,
Q4392059,Q280658,
Q4392059,Q280658,
Q4392059,Q280658,
Q4392059,Q280658,
Q4591063,Q201330,
Q6576521,Q336286,
Q6576521,Q193592,
Q6576521,Q193592,
Q6576521,,
Q6576521,Q336286,
Q6576521,Q193592,
Q6576521,Q193592,
Q6576521,,
Q6576521,Q336286,
Q6576521,,
Q6576521,Q336286,
Q6576521,,
Q6576521,Q280658,
Q6576521,Q193592,
Q6576521,Q280658,
Q6576521,Q280658,
Q6576521,Q193592,
Q6576521,Q280658,
Q6576521,Q280658,
Q6576521,Q193592,
Q6576521,Q280658,
Q6576521,,
Q6576521,Q280658,
Q6576521,,
Q6576521,Q280658,
Q6576521,Q193592,
Q6576521,Q280658,
Q6576521,Q280658,
Q6576521,Q280658,
Q6576521,Q280658,
Q6576521,Q280658,
Q6576521,Q280658,
Q6576521,Q280658,
Q6576521,Q280658,
Q6576521,Q280658,
Q6576521,Q193592,
Q6576521,Q280658,
Q6576521,Q280658,
Q6576521,Q193592,
Q6576521,Q280658,
Q597250,Q201330,
Q597250,Q336286,
Q597250,Q336286,
Q597250,Q336286,
Q597250,Q336286,
Q597250,Q193592,
Q597250,Q193592,
Q597250,Q280658,
Q7057136,Q201330,
Q7057136,Q201330,
Q7057136,Q336286,
Q7057136,Q336286,
Q7057136,Q336286,
Q7057136,Q336286,
Q7057136,Q336286,
Q7057136,Q336286,
Q7057136,Q336286,
Q7057136,Q336286,
Q7057136,Q336286,
Q7057136,Q336286,
Q7057136,Q193592,
Q7057136,Q193592,
Q7057136,Q193592,
Q28155540,Q336286,
Q28155540,Q336286,
Q28155540,Q336286,
Q28155540,Q193592,
Q28155540,Q193592,
Q21660567,Q193592,
Q21660567,Q193592,
Q21660567,Q193592,
Q21660567,Q193592,
Q21660567,Q193592,
Q21660567,Q193592,
Q21660567,Q280658,
Q21660567,Q280658,
Q21660567,Q280658,
Q21660567,Q280658,
Q21660567,Q280658,
Q2195773,Q336286,
Q5425251,Q201330,
Q5425251,Q201330,
Q5425251,Q336286,
Q5425251,Q336286,
Q5425251,Q336286,
Q5425251,Q336286,
Q5425251,Q336286,
Q5425251,Q193592,
Q5425251,Q193592,
Q5425251,Q193592,
Q5425251,Q193592,
Q5425251,Q193592,
Q5425251,Q193592,
Q5425251,Q193592,
Q5425251,Q280658,
Q5425251,Q280658,
Q5425251,Q280658,
Q5425251,Q280658,
Q5425251,Q280658,
Q5425251,Q280658,
Q5425251,Q280658,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,Q336286,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q30593104,,
Q1053786,Q201330,
Q1053786,Q201330,
Q1053786,Q201330,
Q1053786,Q201330,
Q1053786,Q336286,
Q1053786,Q336286,
Q1053786,Q336286,
Q1053786,Q336286,
Q1053786,Q336286,
Q1053786,Q336286,
Q1053786,Q336286,
Q1053786,Q336286,
Q1053786,Q193592,
Q1053786,Q193592,
Q2627475,Q201330,
Q2627475,Q201330,
Q2627475,Q336286,
Q2627475,Q336286,
Q2627475,Q336286,
Q2627475,Q336286,
Q2627475,Q336286,
Q2627475,Q336286,
Q2627475,Q336286,
Q2627475,Q336286,
Q2627475,Q336286,
Q2627475,Q336286,
Q2627475,Q193592,
Q2627475,Q193592,
Q2627475,Q193592,
Q2627475,Q193592,
Q2627475,Q193592,
Q2627475,Q193592,
Q2627475,Q193592,
Q2627475,Q193592,
Q2627475,Q193592,
Q2627475,Q193592,
Q2627475,Q280658,
Q2627475,Q280658,
Q2627475,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q201330,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q201330,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q201330,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q201330,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q201330,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q201330,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q201330,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,,
Q20020271,,
Q20020271,,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,,
Q20020271,,
Q20020271,,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q201330,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q193592,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q280658,
Q20020271,Q336286,
Q20020271,Q193592,
Q20020271,Q336286,
Q20020271,Q201330,
